Time;Relais;Action;JitterSeconds;Description
0 0 10 ? * SAT,SUN *;1.10;Off;20;Weekend Ochtend Keukenwerkblad uit
0 5 10 ? * SAT,SUN *;3.1;Off;120;Weekend Ochtend Spots keuken uit
0 12 10 ? * SAT,SUN *;3.4;Off;120;Weekend Ochtend Zithoek uit
0 12 10 ? * SAT,SUN *;3.3;Off;120;Weekend Ochtend Zitruimte rondom uit
0 14 10 ? * SAT,SUN *;2.1;Off;120;Weekend Ochtend Keukeneiland uit
0 0 11 ? * SAT,SUN *;3.2;Off;20;Weekend Ochtend Kidsroom ochtend uit


# Weekend - Avond Routine
0 0 18 ? * SAT,SUN *;2.1;On;30;Weekend Avond Keukeneiland aan
0 0 18 ? * SAT,SUN *;1.10;On;30;Weekend Avond Keukenwerkblad aan
0 0 18 ? * SAT,SUN *;3.1;On;30;Weekend Avond Spots keuken aan
0 0 18 ? * SAT,SUN *;3.3;On;30;Weekend Avond Zitruimte rondom aan
0 0 18 ? * SAT,SUN *;3.4;On;30;Weekend Avond Zithoek aan

0 0 19 ? * SAT,SUN *;3.2;On;60;Weekend Avond Kidsroom aan

20 50 19 ? * SAT,SUN *;2.7;On;20;Weekend Avond WC aan
20 55 19 ? * SAT,SUN *;2.7;Off;20;Weekend Avond WC uit

0 30 20 ? * SAT,SUN *;3.2;Off;20;Weekend Avond Kidsroom uit
0 30 20 ? * SAT,SUN *;2.6;On;20;Weekend Avond Nachthal aan
20 32 20 ? * SAT,SUN *;1.11;On;20;Weekend Avond Badkamer tandenpoetsen aan
20 38 20 ? * SAT,SUN *;1.11;Off;20;Weekend Avond Badkamer tandenpoetsen uit

0 50 20 ? * SAT,SUN *;2.6;Off;30;Weekend Avond Nachthal uit

0 0 20 ? * SAT,SUN *;3.1;Off;30;Weekend Avond Spots keuken uit
0 0 21 ? * SAT,SUN *;2.1;Off;30;Weekend Avond Keukeneiland uit

20 15 22 ? * SAT,SUN *;2.7;On;20;Weekend Avond WC aan
20 20 22 ? * SAT,SUN *;2.7;Off;20;Weekend Avond WC uit

20 15 22 ? * SAT,SUN *;1.11;On;20;Weekend Avond Badkamer avondroutine aan
20 25 22 ? * SAT,SUN *;1.11;Off;20;Weekend Avond Badkamer avondroutine uit

0 0 23 ? * SAT,SUN *;3.3;Off;30;Weekend Avond Zitruimte rondom uit
0 0 23 ? * SAT,SUN *;3.4;Off;30;Weekend Avond Zithoek uit
0 0 23 ? * SAT,SUN *;1.10;Off;30;Weekend Avond Keukenwerkblad uit

20 25 23 ? * SAT,SUN *;2.8;On;20;Weekend Avond Master aan
20 30 23 ? * SAT,SUN *;2.6;On;20;Weekend Avond Nachthal aan
20 30 23 ? * SAT,SUN *;1.11;On;20;Weekend Avond Badkamer tandenpoetsen aan

20 30 23 ? * SAT,SUN *;3.3;Off;20;Weekend Avond Laatste lichten uit
20 30 23 ? * SAT,SUN *;3.4;Off;20;Weekend Avond Laatste lichten uit
20 30 23 ? * SAT,SUN *;2.6;Off;20;Weekend Avond Nachthal uit
20 30 23 ? * SAT,SUN *;1.11;Off;20;Weekend Avond Badkamer uit

20 35 23 ? * SAT,SUN *;2.8;Off;20;Weekend Avond Master uit
